source,target
113,5
113,1241229
113,2532964
113,2532965
113,109
113,1327
113,882
113,3070363
113,3070364
113,1313
4955,88164
4955,2183911
4955,100507
4955,105685
4955,32055
3027,107094
3027,38832
3027,12074
3027,11155
3027,1330888
3027,2501669
1003,24501
1003,39646
524,225009
524,2179581
524,1805442
3894,11669
3894,43120
3894,53926
3894,131286
3894,60634
3894,7133
1810,68848
1810,1842287
1810,75747
1810,2978609
3895,3112274
3895,834
3895,16523
3895,6952
3895,114454
10980,1923
10980,475512
10989,1689289
10990,87525
10990,7056
1101349,1744249
1101349,1101342
1101349,1101343
1101349,1016349
1101349,3358480
1101349,3358481
1101349,89056
1101349,1101364
1101349,108661
1101349,214830
1101349,1070445
27889,3061
27889,15852
1331,93110
1331,1371
1331,207922
1331,37625
1331,65731
1331,4937
3034,142402
3034,69395
3034,32907
3034,146253
54422,19767
54422,9778
2391,2387
2391,2388
2391,64948
3635,9208
3635,41220
3635,15413
3635,2672
3635,9066
3635,34347
3635,102363
3635,928828
3635,84530
3635,84532
3635,12147
3635,6598
3635,80567
21111,1802110
21111,7571
21111,84378
21111,1420
21111,2102600
21111,106843
21111,87485
21111,2020883
13348,82315
13348,11492
117418,70261
117418,7173
61399,60900
61399,1603921
1050881,146964
1050881,1171032
1050881,1190206
1152,1211732
1152,71531
1152,1383964
1152,1867979
1152,5281
1152,6495
57738,34627
57738,56241
57738,120385
1141815,1204877
1141815,71997
1141815,586391
1141815,1172174
1141815,3254716
1141815,3246294
1141815,72254
1141815,2445767
1141815,1425961
1074129,2232
173729,26456
173729,592803
173729,1248657
173729,1246000
25072,1490
25072,13611
3910,6807
3910,1105079
3910,1395183
72129,189111
1072882,87295
1072882,44240
1072882,2372599
1072882,2372600
1072882,2372601
1987684,1924782
1987684,1987671
1987684,1987673
1167702,1216782
1167702,1207043
1167702,1207045
1167702,89023
1167702,1155272
1167702,90027
1167702,61903
1167703,238367
1167703,543544
1167703,89888
1167703,1155262
1167703,568583
1167703,1039215
1167703,1463963
1167703,18918
1167703,198192
1167703,906496
1167703,1108045
1167703,1064416
1167703,1194949
1167703,1240598
1167703,87255
1167703,569182
557911,963671
557911,1108949
16214,6861
16214,17764
1748,97772
1748,15417
1748,1222952
1748,1749
1748,13784
1748,12149
1748,16180
1748,62064
1748,59258
1748,58769
1748,53862
1748,16478
1748,160172
1748,1947
1748,62578
1748,993162
10127,6213
10127,139745
10127,111946
10127,1215879
10127,6575
10127,1540602
10127,12698
10127,2109
10127,77003
10127,199449
10127,819
10127,33684
10127,181452
10127,84678
1116399,40305
1116399,10279
1116399,71450
1116399,1660861
1116399,21605
1116399,1950802
1116399,37332
1116399,120578
1116399,146720
1116399,2259337
1116399,2259338
1116399,1023520
1116399,566295
102786,128550
102786,2503684
102786,107379
102786,1023483
102786,1068409
102786,1068410
102786,1068411
102786,149923
102786,1063969
102786,1063970
102786,1101345
102786,2169865
102786,2920376
102786,2920377
102786,1173480
18802,2040142
18802,20365
18802,2792563
18802,2792792
18802,82388
18802,3391
18802,31234
18802,13577
112219,112217
112219,928383
112219,160733
112219,1196862
112219,135352
112219,1195465
112219,1195537
112219,214618
112219,77763
112219,218022
112219,543535
112219,80757
112219,222912
112219,1216846
112219,569166
112219,74749
112219,90031
112219,160039
112219,218176
112219,1206981
112219,57342
112219,238346
112219,1082302
112219,543521
112219,79027
112219,1108052
112219,1198946
112219,102937
112219,1170013
112219,238321
112219,565430
112219,1155271
112219,170802
112219,1138149
112219,568592
112219,568589
112219,568587
112219,1275417
112219,1093514
112219,885876
112219,1196994
112219,568585
112219,1195489
112219,1195491
112219,1195475
112219,969097
112219,1326321
112219,1155264
112219,711143
112219,158038
112219,151042
112219,238330
112219,1194847
112219,928362
112219,1196755
112219,112218
112219,217275
112219,1170011
112219,25504
112219,569590
56446,543599
56446,155096
56446,1200822
56446,565426
56446,1081432
56446,1096280
56446,1445097
56446,567257
56446,1566516
56446,1923222
56446,1495880
56446,491896
56446,1081435
56446,137050
56446,65236
56446,1419127
56446,1200138
56446,1425186
56446,1170010
56446,1170014
56446,1528514
56446,237737
56446,1197008
56446,567342
56446,33016
56446,1419126
56446,237740
151043,1419128
151043,1531459
151043,1197228
151043,1275408
151043,1578310
151043,238335
151043,2227093
151043,568555
77120,1198964
77120,86903
77120,1216310
77120,1194951
77120,1076796
77120,229949
77120,219244
77120,565433
77120,1108859
77120,16483
77120,976
77120,1336
77120,1155263
77120,928359
77120,928391
77120,102210
77120,1056699
77120,569184
77120,567264
21216,55779
21216,114293
58792,586
16620,568586
16620,21397
16620,1076694
16620,197994
16620,2712702
16620,15234
16620,129849
16620,1202307
16620,2632
1647876,2767874
1647876,1562729
1647876,112241
28151,590963
28151,1267145
28151,1520971
28151,233058
28151,1242802
28151,3507
28151,28146
28151,28150
5469,13333
5469,3896
567335,1200941
567335,1208114
567335,543515
567335,1118778
567335,1195521
115788,105656
115788,1275416
115788,2294742
115788,1194846
115788,575755
10055,10059
10055,10057
10055,87339
10055,130307
10055,87335
10055,1364398
10055,54566
10055,2128873
10055,1787874
10055,931851
10055,1175049
10055,939196
10055,1495305
10055,1495306
10055,55009
10055,8600
10055,87341
10055,123759
81724,1348884
16431,16839
16431,17604
2059,2878
2059,13445
2059,120612
7132,180691
7132,6471
7132,2298926
21278,8447
21278,64811
21246,7402
21246,81690
21246,226112
21246,1869725
21246,96851
21246,2683
21246,42206
21246,160253
21246,14990
21246,44222
21246,147400
21246,147404
21563,62123
21563,1044567
21563,158223
1234,19190
1234,1763481
1234,3016651
2673964,13021
3154315,3154311
3154315,3154312
139,2165
140,1394681
140,1394682
58924,2415039
58924,2415040
58924,2331202
58924,2653258
58924,146008
58924,52116
58924,19384
58924,74354
58924,18288
58924,59153
58924,105880
58924,57108
58924,16450
58924,121917
58924,58962
58924,562922
58924,93528
58924,55755
58924,264300
58924,4688
58924,124546
58924,103898
1922617,1710661
1922617,1759684
587035,1277188
587035,887
587035,1204
154382,97181
154382,216140
154382,546750
154382,580240
154382,1573627
154382,1437841
154382,55637
31134,1212706
31134,1575256
31134,92861
31134,155783
31134,97779
31134,1789713
31134,51456
74613,140503
7447,15903
7447,117817
7447,24594
7447,56322
7447,61110
7447,10594
7447,58198
7447,1409651
7447,50877
7447,3091773
7447,6240
7447,21411
88620,56262
88620,1102260
88620,87778
88620,20
88620,2154
19961,130253
19961,1371456
180986,82794
180986,133917
180986,56117
180986,131771
180986,265904
180986,84627
180986,112326
380,4512
380,4513
380,4690
380,3096
380,73421
380,1545693
380,73641
380,1202593
380,53397
5049,17787
5049,4139
5049,10205
5049,136532
5049,20049
5049,578
5049,5048
5049,35862
5049,65446
5049,9188
5049,47096
5049,47654
5049,1256731
5049,47513
5049,137928
5049,80112
10774,173765
10774,59016
10774,2496
10774,22091
10774,14639
10774,14670
39187,120229
39187,1325731
39187,62862
39187,52792
39187,58225
39187,1774679
39187,66431
39187,388
39187,139654
39187,11855
34546,1361519
34546,1361520
34546,7063
34546,47646
34546,91606
34546,135420
34546,28485
34546,12982
34546,11180
34546,34551
34546,11616
34546,8227
34546,5482
34546,79931
34546,179598
34546,220404
9560,7499
9560,6161
9560,20767
9560,8338
9560,40266
9560,26659
9560,155
9560,50464
9560,94854
9560,1171621
9560,1218966
9560,39012
9560,1229
9560,19207
12021,50463
12021,9278
59219,20387
1137,2986150
1137,11701
1137,1658802
1137,1350
1137,1352
1137,1356
33181,1629606
33181,4810
63611,1880694
63611,1445417
63611,167831
63611,1884770
63611,134667
63611,118426
63611,12725
63611,11854
2710,8691
2710,869
2710,96884
2710,1100
2710,2395
2710,1735828
1160,1210
1160,2081
1160,12313
1160,44999
1160,776
1813,1201
1813,1848508
1813,231855
1813,3060459
1813,3060491
37153,4720
37153,484359
70243,1610820
70243,1610824
70243,2750
70243,37469
70243,68929
70243,1096822
15973,860
15973,14732
15973,26847
15973,35192
6968,131
6968,49
6968,29222
6968,1812
6968,28745
6968,366
6968,231664
6968,6431
6968,9546
5530,22809
5530,2138086
8891,71010
8891,12516
9048,8534
9048,172069
9048,1215522
9048,1896
9048,15423
9048,1219029
9048,141956
9048,5168
9048,9045
9048,1979
7624,19303
7624,2293
7624,7626
7624,1245564
7624,1341
7624,44731
7624,87172
7624,11449
7624,83875
7624,1836915
7624,2379811
7624,2379813
7624,74568
77896,18291
1459,1281705
1459,1179599
1459,580254
1459,1504791
1459,8892
1459,13294
1459,1228266
1459,47990
1459,220875
35705,561869
35705,62649
35705,63
35705,113505
35705,1819889
143242,1181314
143242,1637311
78577,1674691
78577,143791
3223,1643142
3223,3402518
16828,1172108
16828,30083
16828,67367
16828,224513
103,206
103,205
1189929,975085
1189929,1719741
7904,3072577
7904,1724558
7904,6105
7904,11074
7904,40009
7904,1062
8261,7174
8261,105629
8261,10823
8261,1234957
8261,111270
8261,1231850
8261,15425
8261,14060
8261,22859
8261,1253615
8261,70274
8261,111714
8261,165867
8261,67274
8261,2048
8261,1242716
8261,25129
8261,69921
8261,230253
8261,230249
8261,1347896
50707,36169
50707,30488
84384,517453
84384,1232187
84384,10222
174981,1250
174981,10730
37759,66161
20056,147424
20056,8443
20056,1125
20056,9012
32377,34593
32377,18765
9762,54167
9762,19062
9762,145327
9762,121633
1936,7301
1936,7302
1936,7303
5247,77548
5247,44822
5247,1669775
19550,5694
19550,29543
19550,290
19550,14674
19550,11487
19550,72063
19550,9088
80237,9067
80237,148836
1159,4730
1159,18473
1159,94792
1159,1181353
1159,131273
1159,70569
21200,19274
21200,368
21200,1847916
21200,1416462
21200,112261
21200,13446
21200,87192
21200,1392152
21200,26510
15762,94481
15762,74368
15762,60739
15762,1240646
15762,113916
15762,113919
15762,59784
15762,23680
15762,221843
15762,29220
15762,15274
15762,2880
15762,54427
15762,143346
15762,26457
31162,127725
31162,1225783
31162,19540
31162,22227
31162,212913
31162,12110
31162,15100
